k,BubbleSort partiel,BuildHeap / Remove,HeapSort
159,11.5980000,0.3510000,3.2980000
160,11.7060000,0.4220000,3.5170000
161,11.6850000,0.3590000,3.3530000
162,11.6290000,0.3520000,3.4990000
163,11.7800000,0.4620000,3.4630000
164,11.7880000,0.3520000,3.4760000
165,11.9570000,0.3580000,3.3980000
166,11.8420000,0.3540000,3.4570000
167,12.1100000,0.3670000,3.5730000
168,12.2650000,0.4030000,3.4830000
169,12.2650000,0.4450000,3.3970000
170,11.8210000,0.4020000,3.3130000
171,12.1500000,0.4730000,3.4600000
172,12.1140000,0.4610000,3.3070000
173,12.4800000,0.3540000,3.3630000
174,13.0440000,0.4210000,3.4290000
175,12.6900000,0.4440000,3.5700000
176,12.5100000,0.4360000,3.3570000
177,12.7200000,0.4110000,3.4250000
178,12.7830000,0.4150000,3.4010000
179,12.8340000,0.3930000,3.4960000
180,12.8570000,0.4870000,3.5820000
181,12.8000000,0.4650000,3.4970000
182,12.8150000,0.4210000,3.4110000
183,13.0350000,0.5060000,3.3670000
184,12.7750000,0.4190000,3.4340000
185,13.4550000,0.3860000,3.3350000
186,13.3740000,0.4060000,3.1740000
187,13.1260000,0.4400000,3.1360000
188,13.3620000,0.4050000,3.3930000
189,12.9760000,0.4290000,3.3090000
190,13.5560000,0.4020000,3.3830000
191,13.3160000,0.3780000,3.4450000
192,13.6320000,0.5180000,2.9870000
193,13.2610000,0.6340000,3.7180000
194,13.8420000,0.4220000,3.1300000
195,13.7010000,0.3630000,3.6660000
196,13.7670000,0.4030000,3.7350000
197,13.8710000,0.3820000,3.3520000
198,14.2840000,0.3980000,3.4020000
199,14.3750000,0.5050000,2.9280000
200,14.1450000,0.4690000,3.3430000
201,14.5180000,0.4770000,3.5150000
202,14.4300000,0.4960000,3.6050000
203,15.1310000,0.4000000,3.1450000
204,14.9090000,0.3640000,3.0070000
205,15.3060000,0.4040000,3.3660000
206,14.4440000,0.4940000,3.4340000
207,14.8890000,0.4550000,3.1250000
208,15.1260000,0.3660000,2.9960000
209,15.0540000,0.4910000,3.1080000
210,14.6440000,0.4920000,3.2560000
211,15.4760000,0.4770000,3.0240000
212,15.0020000,0.3980000,3.0950000
213,15.1630000,0.5110000,2.9770000
214,16.8250000,0.4700000,3.3260000
215,15.4740000,0.4980000,3.0510000
216,14.9410000,0.4850000,3.3350000
217,16.9180000,0.5020000,3.4040000
218,15.6570000,0.4940000,2.9590000
219,16.5570000,0.3820000,3.5820000
220,15.5750000,0.3880000,3.3870000
221,15.6190000,0.4840000,3.2780000
222,15.7780000,0.4000000,3.2160000
223,15.8740000,0.3910000,3.5710000
224,15.9350000,0.4170000,3.3580000
225,15.8720000,0.3770000,3.4430000
226,16.0770000,0.3940000,3.2580000
227,16.1550000,0.4510000,2.8780000
228,15.8620000,0.4590000,3.1250000
229,16.4680000,0.4140000,3.4100000
230,16.8040000,0.4260000,3.0500000
231,17.1960000,0.5400000,3.6350000
232,16.9080000,0.4050000,3.0220000
233,17.4420000,0.3970000,3.9770000
234,16.7390000,0.4260000,2.9750000
235,17.3600000,0.5500000,3.4950000
236,17.0980000,0.4260000,2.9990000
237,17.2830000,0.4100000,3.5270000
238,17.2800000,0.4240000,3.2640000
239,17.0230000,0.4040000,3.6230000
240,17.5190000,0.4300000,3.0760000
241,17.6670000,0.3990000,3.6350000
242,17.3520000,0.4270000,3.4080000
243,17.6130000,0.4620000,3.5260000
244,17.3880000,0.4100000,3.2240000
245,18.1850000,0.4190000,4.1760000
246,18.0630000,0.4220000,3.6170000
247,18.0470000,0.4120000,3.5440000
248,17.7810000,0.4310000,3.3700000
249,18.7370000,0.5190000,3.5570000
250,18.1050000,0.4220000,3.6140000
251,18.4420000,0.4100000,3.6170000
252,18.1990000,0.4370000,3.5600000
253,18.6750000,0.4890000,3.5060000
254,17.6180000,0.4490000,3.4400000
255,17.9960000,0.4070000,3.4850000
256,18.1810000,0.4370000,3.0190000
257,18.1760000,0.4070000,3.4390000
258,18.4930000,0.4350000,3.5600000
259,18.2940000,0.4080000,3.4940000
260,18.8030000,0.4350000,3.4590000
261,19.0490000,0.4110000,3.5120000
262,18.5100000,0.4310000,3.0910000
263,19.1770000,0.4090000,3.5260000
264,18.7200000,0.4180000,3.5620000
265,19.2610000,0.4110000,3.4460000
266,18.9290000,0.4870000,3.5950000
267,19.2830000,0.4090000,3.4070000
268,19.0510000,0.4290000,3.5600000
269,19.2510000,0.4150000,3.2640000
270,18.8880000,0.3960000,3.6090000
271,19.5550000,0.4260000,3.4640000
272,19.8620000,0.4870000,3.4610000
273,19.5840000,0.4140000,3.2610000
274,19.5220000,0.3970000,3.1010000
275,19.2220000,0.4110000,3.4500000
276,19.6290000,0.3970000,3.3120000
277,19.5960000,0.4220000,3.4420000
278,19.6540000,0.4280000,3.6150000
279,19.5630000,0.4160000,3.3800000
280,20.1430000,0.4270000,3.1050000
281,20.0100000,0.4140000,3.4430000
282,19.9470000,0.4030000,3.5480000
283,20.3090000,0.4600000,3.4570000
284,20.0080000,0.5030000,3.6100000
285,21.4280000,0.5030000,3.3740000
286,20.9950000,0.4470000,3.2270000
287,20.1560000,0.6180000,3.2000000
288,20.3260000,0.4770000,3.5090000
289,20.3680000,0.4190000,3.3910000
290,20.7220000,0.4950000,3.5930000
291,21.0130000,0.4290000,3.4110000
292,20.7430000,0.4320000,3.4300000
293,21.1980000,0.4590000,2.9140000
294,20.7240000,0.4350000,3.4500000
295,22.0390000,0.4570000,3.0730000
296,20.1680000,0.5650000,3.7310000
297,20.8900000,0.4330000,3.0960000
298,20.1640000,0.4900000,3.3430000
299,21.3480000,0.4240000,3.2080000
300,21.7670000,0.4380000,2.8810000
301,20.5870000,0.6480000,3.3600000
302,21.5680000,0.4990000,3.0720000
303,20.8140000,0.4420000,2.9210000
304,21.6110000,0.4680000,3.1350000
305,22.6780000,0.4490000,2.8670000
306,22.8060000,0.4690000,3.0980000
307,21.5470000,0.4140000,3.4730000
308,21.6520000,0.4160000,3.4610000
309,21.7390000,0.4340000,3.2640000
310,21.6530000,0.5000000,3.2580000
311,22.0630000,0.4990000,3.0730000
312,22.3900000,0.4130000,3.0030000
313,22.8140000,0.4150000,2.9250000
314,21.6250000,0.4140000,3.0550000
315,22.7180000,0.4390000,3.3580000
316,22.4040000,0.4900000,2.9250000
317,21.3650000,0.5910000,3.1110000
318,22.4690000,0.4360000,3.2790000
319,22.3070000,0.5110000,3.2720000
320,23.9360000,0.4170000,2.9650000
321,23.7780000,0.4370000,3.1660000
322,25.5320000,0.4290000,3.3310000
323,22.7290000,0.4460000,3.4570000
324,25.0040000,0.4550000,3.0610000
325,24.3430000,0.4390000,3.1950000
326,23.3170000,0.4650000,2.9230000
327,22.9390000,0.4220000,3.5350000
328,24.8610000,0.5100000,3.2690000
329,23.4570000,0.4900000,3.0030000
330,24.0640000,0.4970000,3.7540000
331,23.0260000,0.4980000,3.2070000
332,23.7530000,0.4450000,2.9900000
333,23.5480000,0.4900000,3.5910000
334,26.4470000,0.4410000,3.0110000
335,24.2270000,0.4760000,3.3350000
336,23.6060000,0.4700000,3.0660000
337,23.6490000,0.4240000,3.5820000
338,24.4800000,0.5010000,2.9210000
339,25.6950000,0.4250000,2.9160000
340,23.5670000,0.4560000,3.2890000
341,24.4870000,0.4670000,3.2230000
342,24.8020000,0.6030000,3.0180000
343,25.2440000,0.4310000,2.9030000
344,24.9190000,0.4520000,3.1480000
345,24.0140000,0.4600000,3.6380000
346,25.0470000,0.4540000,2.9180000
347,25.0310000,0.4340000,2.8920000
348,25.0240000,0.5160000,3.0970000
349,24.6390000,0.4700000,3.8620000
350,25.2520000,0.4360000,2.8840000
351,25.8150000,0.4480000,3.2020000
352,25.9970000,0.4350000,3.0240000
353,25.1630000,0.4760000,3.5830000
354,25.4520000,0.4440000,3.7820000
355,26.5980000,0.4360000,3.1030000
356,26.5850000,0.5250000,3.0440000
357,25.4150000,0.4420000,2.9210000
358,25.0280000,0.5240000,3.0410000
359,25.4870000,0.5030000,3.6450000
360,24.8550000,0.6250000,2.8750000
361,25.2050000,0.5050000,3.2780000
362,25.3290000,0.4940000,2.9960000
363,28.1540000,0.5790000,3.0210000
364,24.6620000,0.4780000,3.1160000
365,26.1030000,0.4450000,2.8980000
366,26.0540000,0.5490000,3.3120000
367,25.8470000,0.4430000,3.0060000
368,27.7110000,0.5080000,2.9450000
369,26.0630000,0.4650000,3.3940000
370,26.8180000,0.7150000,3.6030000
371,27.8200000,0.4970000,3.6370000
372,26.5630000,0.4450000,2.9930000
373,27.1380000,0.4770000,2.9260000
374,28.6540000,0.5210000,3.1620000
375,27.8090000,0.4460000,2.9130000
376,26.4830000,0.4820000,3.1730000
377,27.6670000,0.4860000,2.9130000
378,26.1520000,0.4880000,3.1570000
379,26.7120000,0.7090000,3.6690000
380,27.2980000,0.4900000,3.5050000
381,26.6760000,0.4480000,3.0380000
382,27.4410000,0.5240000,2.8890000
383,26.6720000,0.4870000,2.9790000
384,27.3160000,0.4520000,2.8920000
385,27.3910000,0.5060000,2.9970000
386,29.4270000,0.5020000,2.9280000
387,26.7350000,0.4860000,3.1860000
388,27.2370000,0.6130000,3.7060000
389,26.4140000,0.4520000,3.0730000
390,27.6160000,0.4560000,3.0920000
391,28.2910000,0.4900000,2.9010000
392,28.0730000,0.5460000,3.0930000
393,28.5770000,0.4530000,3.1940000
394,28.1480000,0.5300000,2.9820000
395,27.9980000,0.4890000,3.1090000
396,27.5990000,0.4910000,3.4750000
397,27.7270000,0.4930000,3.0030000
398,29.6200000,0.4890000,2.9240000
399,27.8380000,0.4580000,2.9450000
400,27.7580000,0.4620000,3.0090000
401,27.2310000,0.5510000,3.4810000
402,28.5640000,0.5220000,3.0100000
403,29.2800000,0.4780000,3.2980000
404,28.7190000,0.4660000,3.0110000
405,28.3600000,0.4800000,3.2340000
406,29.5260000,0.4990000,3.0100000
407,29.0370000,0.4600000,2.9130000
408,28.9090000,0.4600000,3.0050000
409,28.2690000,0.4820000,3.3280000
410,28.2970000,0.4620000,2.9940000
411,29.9180000,0.5430000,3.3340000
412,28.9860000,0.4660000,3.1780000
413,29.2980000,0.4650000,4.2850000
414,31.3310000,0.4650000,2.9130000
415,29.3850000,0.5100000,2.9150000
416,30.4790000,0.4680000,3.3300000
417,29.5540000,0.4660000,3.0710000
418,29.6700000,0.4680000,3.0950000
419,29.6070000,0.5190000,3.5920000
420,31.8850000,0.6660000,3.1300000
421,28.6820000,0.5140000,3.8240000
422,29.8860000,0.4670000,3.1970000
423,30.4090000,0.6510000,2.8840000
424,30.4380000,0.5020000,2.9990000
425,30.4300000,0.4720000,4.1300000
426,31.2930000,0.5520000,3.4270000
427,28.5370000,0.9370000,3.9060000
428,31.4080000,0.4710000,3.0340000
429,30.9700000,0.4800000,3.4870000
430,30.9680000,0.5010000,3.4990000
431,31.0240000,0.5230000,3.1450000
432,31.5390000,0.6340000,3.4640000
433,32.0510000,0.7190000,3.5200000
434,30.5690000,0.5310000,3.5380000
435,30.2560000,0.5190000,3.3000000
436,30.7220000,0.6620000,3.0960000
437,31.4100000,0.4780000,2.8820000
438,30.7970000,0.4740000,3.8590000
439,35.6450000,0.5910000,3.8880000
440,31.8880000,0.5490000,3.1490000
441,31.6170000,0.5200000,3.1490000
442,34.0290000,0.5820000,3.0780000
443,31.9990000,0.5410000,3.6270000
444,31.0680000,0.5710000,3.0400000
445,30.5700000,0.5400000,3.5630000
446,31.1750000,0.5280000,3.0280000
447,31.6360000,0.5150000,3.5250000
448,32.1540000,0.5600000,3.1770000
449,30.7380000,0.5010000,3.5640000
450,31.4840000,0.5180000,3.0250000
451,31.6540000,0.5350000,3.5360000
452,31.5640000,0.5520000,3.3160000
453,34.7790000,0.5400000,3.0780000
454,31.9440000,0.5500000,3.1040000
455,32.4530000,0.6270000,3.2890000
456,33.7330000,0.5290000,3.0010000
457,35.1130000,0.7610000,4.1770000
458,32.8120000,0.5470000,3.1620000
459,33.0700000,0.5430000,2.9240000
460,32.6050000,0.5240000,2.9960000
461,32.6390000,0.4860000,3.6290000
462,32.7790000,0.5840000,3.2900000
