k,BubbleSort partiel,BuildHeap / Remove,HeapSort
273,2533150,10731,124199
274,2541837,10744,124199
275,2550521,10756,124199
276,2559203,10768,124199
277,2567882,10780,124199
278,2576556,10792,124199
279,2585229,10804,124199
280,2593901,10817,124199
281,2602573,10829,124199
282,2611242,10841,124199
283,2619908,10853,124199
284,2628572,10865,124199
285,2637229,10877,124199
286,2645882,10890,124199
287,2654533,10903,124199
288,2663181,10915,124199
289,2671825,10927,124199
290,2680466,10940,124199
291,2689104,10952,124199
292,2697741,10964,124199
293,2706374,10977,124199
294,2715002,10989,124199
295,2723627,11001,124199
296,2732250,11013,124199
297,2740870,11024,124199
298,2749489,11036,124199
299,2758105,11048,124199
300,2766719,11061,124199
301,2775332,11073,124199
302,2783940,11086,124199
303,2792548,11098,124199
304,2801155,11109,124199
305,2809761,11121,124199
306,2818364,11133,124199
307,2826966,11146,124199
308,2835567,11158,124199
309,2844165,11170,124199
310,2852763,11182,124199
311,2861358,11194,124199
312,2869949,11206,124199
313,2878537,11218,124199
314,2887122,11230,124199
315,2895703,11241,124199
316,2904281,11254,124199
317,2912855,11266,124199
318,2921424,11278,124199
319,2929990,11290,124199
320,2938553,11303,124199
321,2947112,11316,124199
322,2955668,11327,124199
323,2964215,11339,124199
324,2972762,11352,124199
325,2981305,11364,124199
326,2989844,11376,124199
327,2998376,11388,124199
328,3006903,11401,124199
329,3015430,11413,124199
330,3023952,11425,124199
331,3032471,11437,124199
332,3040983,11449,124199
333,3049494,11462,124199
334,3058001,11474,124199
335,3066502,11486,124199
336,3074996,11498,124199
337,3083488,11510,124199
338,3091977,11522,124199
339,3100464,11534,124199
340,3108946,11547,124199
341,3117426,11559,124199
342,3125901,11571,124199
343,3134374,11582,124199
344,3142843,11594,124199
345,3151310,11606,124199
346,3159774,11618,124199
347,3168234,11628,124199
348,3176690,11640,124199
349,3185145,11653,124199
350,3193595,11664,124199
351,3202042,11676,124199
352,3210487,11688,124199
353,3218931,11701,124199
354,3227372,11713,124199
355,3235810,11725,124199
356,3244245,11738,124199
357,3252677,11750,124199
358,3261105,11762,124199
359,3269528,11774,124199
360,3277944,11787,124199
